Diet,Pronotum,Mass0,Delta_smi,Song_week1
72,2.480769231,0.21283,0.026515686,7.13009851
84,2.264423077,0.17652,0.032727056,9.752548377
84,2.504807692,0.221,0.024528731,7.166265974
84,2.423076923,0.19681,0.048489859,8.265907334
84,2.418269231,0.21022,0.021537898,10.50886853
84,2.5125,0.20886,0.048569423,9.515321942
84,2.399038462,0.21386,0.0296425,8.599694413
84,2.298076923,0.17449,0.046530043,7.389563954
84,2.294230769,0.20509,0.001924744,9.100302267
84,2.247115385,0.18412,0.047053391,9.841878071
84,2.519230769,0.2334,0.066770027,9.103200496
84,2.375961538,0.19527,0.029416041,7.051855623
84,2.424038462,0.23227,0.004296155,9.694370173
84,2.4,0.19732,0.011437094,8.184234774
84,2.598076923,0.2476,0.057390004,9.202610574
84,2.233653846,0.17772,0.003781694,7.986504939
84,2.432692308,0.21544,0.036613891,8.26436333
36,2.602884615,0.28468,-0.010413055,8.907476978
48,2.313461538,0.19495,0.036457043,8.891511571
72,2.129807692,0.16132,0.023920965,8.778787929
84,2.400961538,0.21343,0.05983737,8.245121966
84,2.576923077,0.22199,0.066483972,9.827092351
72,2.139423077,0.17984,0.019950816,10.48142027
60,2.404807692,0.2128,0.013863018,7.576609767
84,2.481730769,0.20844,0.044415236,9.679343501
84,2.206730769,0.15456,0.029864341,9.792500124
36,2.520192308,0.21543,0.028050197,8.910855587
36,2.418269231,0.20698,0.024033078,6.579251212
48,2.325,0.21919,0.010316703,9.997068966
84,2.583653846,0.24939,0.013630907,8.97525075
48,2.510576923,0.23459,0.030730202,10.76466719
24,2.463461538,0.20314,0.009097371,7.437795122
72,2.564423077,0.29205,-0.00146829,10.41367297
84,2.516346154,0.23118,0.055673125,9.921622123
24,2.451923077,0.18823,0.019285907,6.703188113
48,2.324038462,0.19622,0.008495425,2.079441542
36,2.447115385,0.20451,-0.00620983,5.424950017
48,2.255769231,0.20066,-0.012176809,4.189654742
12,2.100961538,0.16478,-0.005940445,2.079441542
24,2.302884615,0.19456,0.002127618,7.77317368
24,2.192307692,0.16399,-0.001981047,4.430816799
24,2.318269231,0.20452,0.011477032,8.511778559
24,2.414423077,0.1916,0.004117441,7.474204806
24,2.326923077,0.20592,-0.016278786,0
36,2.235576923,0.18035,0.015168716,7.757051142
36,2.424038462,0.21213,-0.009107008,2.397895273
36,2.326923077,0.19343,0.011587166,8.628555659
36,2.375,0.19969,-0.024321815,0
48,2.3,0.19226,0.021143667,7.626570206
48,2.443269231,0.20115,-0.008435827,0
48,2.317307692,0.22875,-0.027225473,5.703782475
48,2.240384615,0.20134,0.007055448,10.00491535
48,2.360576923,0.19898,9.03E-04,5.257495372
48,2.3125,0.17634,0.034435324,9.688932018
48,2.206730769,0.16138,0.020864581,8.328692584
48,2.309615385,0.20563,-0.012184147,0
48,2.427884615,0.22007,NA,0
60,2.254807692,0.18123,0.001963264,4.343805422
60,2.284615385,0.19229,0.009511653,5.886104031
60,2.230769231,0.17364,0.019542055,10.49984846
60,2.3125,0.19843,0.025731072,3.63758616
60,2.250961538,0.17807,0.011467523,1.945910149
60,2.245192308,0.1952,-0.033029153,0
72,2.164423077,0.20082,-0.00205067,8.609954671
72,2.168269231,0.2049,0.002541485,8.858795106
72,2.274038462,0.18622,0.014972715,5.948034989
72,2.2375,0.1727,0.021532863,8.258163362
72,2.288461538,0.18014,0.028667316,7.280697195
72,2.322115385,0.18125,0.0164938,7.925157512
72,2.307692308,0.20302,-0.005870734,0
84,2.227884615,0.18895,-0.006278103,2.564949357
84,2.4,0.2449,-0.025331576,7.176254532
84,2.165384615,0.16724,0.011916875,5.236441963
84,2.101923077,0.20897,-0.011821946,6.161207322
84,2.3875,0.20914,0.017629704,9.650593306
84,2.370192308,0.20989,0.004293766,4.369447852
84,2.153846154,0.16009,-0.001590582,0
84,2.349038462,0.19716,0.027590423,7.843848638
84,2.221153846,0.17419,0.007807992,0
48,2.394230769,0.19072,-0.005983575,7.17472431
48,2.25,0.17298,-0.006820915,4.430816799
72,2.486538462,0.26017,-0.027380404,10.23631028
84,2.653846154,0.26005,-0.026908658,0
60,2.548076923,0.22451,0.041183891,10.37377239
84,2.505769231,0.20613,-1.26E-04,0
